ubigeo,departamento_folder,dpto,prov,dist,urbano_pdf,rustico_pdf,urb_min_soles_m2,urb_max_soles_m2,rus_min_soles_ha,rus_max_soles_ha
010101,01_AMAZONAS,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,E:\2026\mef_scraper\mef_listados_pdfs\01_AMAZONAS\URBANO\010101_URBANO2026.pdf,E:\2026\mef_scraper\mef_listados_pdfs\01_AMAZONAS\RUSTICO\010101_RUSTICO2026.pdf,12.88,62.0,1508.0,41880.0
010102,01_AMAZONAS,AMAZONAS,CHACHAPOYAS,ASUNCION,E:\2026\mef_scraper\mef_listados_pdfs\01_AMAZONAS\URBANO\010102_URBANO2026.pdf,E:\2026\mef_scraper\mef_listados_pdfs\01_AMAZONAS\RUSTICO\010102_RUSTICO2026.pdf,7.0,26.0,1193.0,24860.0
010103,01_AMAZONAS,AMAZONAS,CHACHAPOYAS,BALSAS,E:\2026\mef_scraper\mef_listados_pdfs\01_AMAZONAS\URBANO\010103_URBANO2026.pdf,E:\2026\mef_scraper\mef_listados_pdfs\01_AMAZONAS\RUSTICO\010103_RUSTICO2026.pdf,7.64,36.0,1193.0,24860.0
010104,01_AMAZONAS,AMAZONAS,CHACHAPOYAS,CHETO,E:\2026\mef_scraper\mef_listados_pdfs\01_AMAZONAS\URBANO\010104_URBANO2026.pdf,E:\2026\mef_scraper\mef_listados_pdfs\01_AMAZONAS\RUSTICO\010104_RUSTICO2026.pdf,7.76,39.0,1193.0,24860.0
010105,01_AMAZONAS,AMAZONAS,CHACHAPOYAS,CHILIQUIN,E:\2026\mef_scraper\mef_listados_pdfs\01_AMAZONAS\URBANO\010105_URBANO2026.pdf,E:\2026\mef_scraper\mef_listados_pdfs\01_AMAZONAS\RUSTICO\010105_RUSTICO2026.pdf,6.83,20.0,1193.0,24860.0
010106,01_AMAZONAS,AMAZONAS,CHACHAPOYAS,CHUQUIBAMBA,E:\2026\mef_scraper\mef_listados_pdfs\01_AMAZONAS\URBANO\010106_URBANO2026.pdf,E:\2026\mef_scraper\mef_listados_pdfs\01_AMAZONAS\RUSTICO\010106_RUSTICO2026.pdf,6.75,19.0,1193.0,24860.0
010107,01_AMAZONAS,AMAZONAS,CHACHAPOYAS,GRANADA,E:\2026\mef_scraper\mef_listados_pdfs\01_AMAZONAS\URBANO\010107_URBANO2026.pdf,E:\2026\mef_scraper\mef_listados_pdfs\01_AMAZONAS\RUSTICO\010107_RUSTICO2026.pdf,7.62,42.0,1130.0,23549.0
010108,01_AMAZONAS,AMAZONAS,CHACHAPOYAS,HUANCAS,E:\2026\mef_scraper\mef_listados_pdfs\01_AMAZONAS\URBANO\010108_URBANO2026.pdf,E:\2026\mef_scraper\mef_listados_pdfs\01_AMAZONAS\RUSTICO\010108_RUSTICO2026.pdf,8.0,49.0,1193.0,24860.0
010109,01_AMAZONAS,AMAZONAS,CHACHAPOYAS,LA JALCA,E:\2026\mef_scraper\mef_listados_pdfs\01_AMAZONAS\URBANO\010109_URBANO2026.pdf,E:\2026\mef_scraper\mef_listados_pdfs\01_AMAZONAS\RUSTICO\010109_RUSTICO2026.pdf,7.0,26.0,1193.0,24860.0
010110,01_AMAZONAS,AMAZONAS,CHACHAPOYAS,LEIMEBAMBA,E:\2026\mef_scraper\mef_listados_pdfs\01_AMAZONAS\URBANO\010110_URBANO2026.pdf,E:\2026\mef_scraper\mef_listados_pdfs\01_AMAZONAS\RUSTICO\010110_RUSTICO2026.pdf,12.0,52.0,1508.0,41880.0
010111,01_AMAZONAS,AMAZONAS,CHACHAPOYAS,LEVANTO,E:\2026\mef_scraper\mef_listados_pdfs\01_AMAZONAS\URBANO\010111_URBANO2026.pdf,E:\2026\mef_scraper\mef_listados_pdfs\01_AMAZONAS\RUSTICO\010111_RUSTICO2026.pdf,8.53,54.0,1193.0,24860.0
010112,01_AMAZONAS,AMAZONAS,CHACHAPOYAS,MAGDALENA,E:\2026\mef_scraper\mef_listados_pdfs\01_AMAZONAS\URBANO\010112_URBANO2026.pdf,E:\2026\mef_scraper\mef_listados_pdfs\01_AMAZONAS\RUSTICO\010112_RUSTICO2026.pdf,7.76,39.0,1193.0,24860.0
010113,01_AMAZONAS,AMAZONAS,CHACHAPOYAS,MARISCAL CASTILLA,E:\2026\mef_scraper\mef_listados_pdfs\01_AMAZONAS\URBANO\010113_URBANO2026.pdf,E:\2026\mef_scraper\mef_listados_pdfs\01_AMAZONAS\RUSTICO\010113_RUSTICO2026.pdf,7.0,33.0,1193.0,24860.0
010114,01_AMAZONAS,AMAZONAS,CHACHAPOYAS,MOLINOPAMPA,E:\2026\mef_scraper\mef_listados_pdfs\01_AMAZONAS\URBANO\010114_URBANO2026.pdf,E:\2026\mef_scraper\mef_listados_pdfs\01_AMAZONAS\RUSTICO\010114_RUSTICO2026.pdf,7.83,40.0,1193.0,24860.0
010115,01_AMAZONAS,AMAZONAS,CHACHAPOYAS,MONTEVIDEO,E:\2026\mef_scraper\mef_listados_pdfs\01_AMAZONAS\URBANO\010115_URBANO2026.pdf,E:\2026\mef_scraper\mef_listados_pdfs\01_AMAZONAS\RUSTICO\010115_RUSTICO2026.pdf,7.57,35.0,1193.0,24860.0
010116,01_AMAZONAS,AMAZONAS,CHACHAPOYAS,OLLEROS,E:\2026\mef_scraper\mef_listados_pdfs\01_AMAZONAS\URBANO\010116_URBANO2026.pdf,E:\2026\mef_scraper\mef_listados_pdfs\01_AMAZONAS\RUSTICO\010116_RUSTICO2026.pdf,6.91,22.0,1193.0,24860.0
010117,01_AMAZONAS,AMAZONAS,CHACHAPOYAS,QUINJALCA,E:\2026\mef_scraper\mef_listados_pdfs\01_AMAZONAS\URBANO\010117_URBANO2026.pdf,E:\2026\mef_scraper\mef_listados_pdfs\01_AMAZONAS\RUSTICO\010117_RUSTICO2026.pdf,6.75,19.0,1193.0,24860.0
010118,01_AMAZONAS,AMAZONAS,CHACHAPOYAS,SAN FRANCISCO DE DAGUAS,E:\2026\mef_scraper\mef_listados_pdfs\01_AMAZONAS\URBANO\010118_URBANO2026.pdf,E:\2026\mef_scraper\mef_listados_pdfs\01_AMAZONAS\RUSTICO\010118_RUSTICO2026.pdf,12.0,48.0,1508.0,41880.0
